t,TSolarSeg,TSolarReturn,TAmbient,Radiation_Hor,dmSolar
213.97917,10.103170000000034,9.999990000000025,13.800010000000043,0.0,0.01
213.98958,10.091360000000009,9.999990000000025,13.423090000000002,0.0,0.01
214.00000,10.082700000000045,9.999990000000025,13.111540000000048,0.0,0.01
214.01042,10.074060000000031,9.999990000000025,12.819240000000036,0.0,0.01
214.02083,10.065420000000017,9.999990000000025,12.499990000000025,0.0,0.01
214.03125,10.056759999999997,9.999990000000025,12.127010000000041,0.0,0.01
214.03866,10.050229999999999,9.999990000000025,11.844380000000001,0.0,0.01
214.03866,10.050229999999999,9.999990000000025,11.844380000000001,0.0,0.01
214.04167,10.046500000000037,9.999990000000025,11.72845000000001,0.0,0.01
214.05208,10.036339999999996,9.999990000000025,11.340660000000014,0.0,0.01
214.06250,10.027250000000038,9.999990000000025,10.999990000000025,0.0,0.01
214.07292,10.020960000000002,9.999990000000025,10.731989999999996,0.0,0.01
214.08333,10.014920000000018,9.999990000000025,10.523650000000032,0.0,0.01
214.09375,10.009910000000048,9.999990000000025,10.353480000000047,0.0,0.01
214.10417,10.005790000000047,9.999990000000025,10.20001000000002,0.0,0.01
214.11458,10.00182000000001,9.999990000000025,10.056540000000041,0.0,0.01
214.12500,9.998500000000035,9.999990000000025,9.928030000000035,0.0,0.01
214.13542,9.995200000000011,9.999990000000025,9.810510000000022,0.0,0.01
214.14583,9.992790000000014,9.999990000000025,9.70001000000002,0.0,0.01
214.15625,9.990560000000016,9.999990000000025,9.581260000000043,0.10859,0.01
214.16667,9.989040000000045,9.999990000000025,9.483330000000024,0.45625,0.01
214.17708,9.991970000000038,9.999990000000025,9.468740000000025,1.07578,0.01
214.18750,9.999660000000006,9.999990000000025,9.600000000000023,2.0,0.01
214.19792,10.043180000000007,9.999990000000025,9.872640000000047,9.49325,0.01
214.20833,10.130060000000014,9.999990000000025,10.218740000000025,24.97784,0.01
214.21875,10.222470000000044,9.999990000000025,10.60546000000005,41.22351,0.01
214.22917,10.286550000000034,9.999990000000025,10.999990000000025,51.0,0.01
214.23958,10.318230000000028,9.999990000000025,11.383600000000001,69.99706,0.01
214.25000,10.342219999999998,9.999990000000025,11.768760000000043,96.97493,0.01
214.26042,10.36685,9.999990000000025,12.169520000000034,127.71533,0.01
214.27083,10.39712000000003,9.999990000000025,12.600000000000023,162.0,0.01
214.28125,10.437130000000025,9.999990000000025,13.068750000000023,198.35364,0.01
214.29167,10.602689999999996,9.999990000000025,13.57501000000002,235.87564,0.01
214.30208,10.893000000000029,9.999990000000025,14.118740000000003,275.20984,0.01
214.31250,11.202870000000019,9.999990000000025,14.70001000000002,317.0,0.01
214.32292,11.533870000000036,9.999990000000025,15.300010000000043,361.20001,0.01
214.33333,11.883420000000001,9.999990000000025,15.899990000000003,406.71725,0.01
214.34375,12.246550000000013,9.999990000000025,16.499990000000025,452.62585,0.01
214.35417,12.615750000000048,9.999990000000025,17.100000000000023,498.0,0.01
214.36458,12.981380000000001,9.999990000000025,17.70001000000002,541.51984,0.01
214.37500,13.338800000000049,9.999990000000025,18.300010000000043,582.83801,0.01
214.38542,13.685020000000009,9.999990000000025,18.899990000000003,622.48718,0.01
214.39583,14.02188000000001,9.999990000000025,19.499990000000025,661.0,0.01
214.40625,14.246360000000038,9.999990000000025,20.098870000000034,681.18939,0.01
214.41667,14.260680000000036,9.999990000000025,20.65536000000003,670.88281,0.01
214.42708,14.098960000000034,9.999990000000025,21.10916000000003,638.13483,0.01
214.43750,13.809840000000008,9.999990000000025,21.399990000000003,591.0,0.01
214.44792,13.216150000000027,9.999990000000025,21.547630000000026,493.95737,0.01
214.45833,12.230430000000013,9.999990000000025,21.62936000000002,346.27979,0.01
214.46875,12.044700000000034,9.999990000000025,21.67144000000002,335.84918,0.01
214.47917,12.206290000000024,9.999990000000025,21.70001000000002,367.0,0.01
214.48958,12.307180000000017,9.999990000000025,21.730800000000045,385.30283,0.01
214.50000,12.341210000000046,9.999990000000025,21.759910000000048,390.9469,0.01
214.51042,12.333860000000016,9.999990000000025,21.784080000000017,389.11752,0.01
214.52083,12.312310000000025,9.999990000000025,21.800010000000043,385.0,0.01
214.53125,12.291280000000029,9.999990000000025,21.806820000000016,381.23135,0.01
214.54167,12.264670000000024,9.999990000000025,21.79910000000001,376.48343,0.01
214.55208,12.232690000000048,9.999990000000025,21.766840000000002,369.99377,0.01
214.56250,12.183770000000038,9.999990000000025,21.70001000000002,361.0,0.01
214.57292,12.111410000000035,9.999990000000025,21.57931000000002,347.09723,0.01
214.58333,12.016750000000002,9.999990000000025,21.415610000000015,329.17593,0.01
214.59375,11.919610000000034,9.999990000000025,21.24413000000004,311.41666,0.01
214.60417,11.845730000000003,9.999990000000025,21.100000000000023,298.0,0.01
214.61458,11.809439999999995,9.999990000000025,20.99413000000004,292.14819,0.01
214.62500,11.799650000000042,9.999990000000025,20.903130000000033,291.08041,0.01
214.63542,11.78884000000005,9.999990000000025,20.810540000000003,289.97241,0.01
214.64583,11.757010000000037,9.999990000000025,20.70001000000002,284.0,0.01
214.65625,11.702080000000024,9.999990000000025,20.56719000000004,273.33664,0.01
214.66667,11.63348000000002,9.999990000000025,20.412500000000023,260.91034,0.01
214.67708,11.552390000000003,9.999990000000025,20.226560000000006,246.02887,0.01
214.68750,11.45437000000004,9.999990000000025,19.999990000000025,228.0,0.01
214.69792,11.34026,9.999990000000025,19.743740000000003,207.07065,0.01
214.70833,11.217579999999998,9.999990000000025,19.475000000000023,184.85507,0.01
214.71875,11.094840000000033,9.999990000000025,19.193750000000023,162.71196,0.01
214.72917,10.98010000000005,9.999990000000025,18.899990000000003,142.0,0.01
214.73958,10.871090000000038,9.999990000000025,18.600000000000023,122.76305,0.01
214.75000,10.765800000000013,9.999990000000025,18.300010000000043,104.07826,0.01
214.76042,10.662930000000017,9.999990000000025,17.999990000000025,85.85435,0.01
214.77083,10.561980000000005,9.999990000000025,17.70001000000002,68.0,0.01
214.78125,10.464380000000006,9.999990000000025,17.399990000000003,50.31538,0.01
214.79167,10.369740000000036,9.999990000000025,17.100000000000023,33.70769,0.01
214.80208,10.287930000000017,9.999990000000025,16.800010000000043,19.74615,0.01
214.81250,10.225610000000017,9.999990000000025,16.499990000000025,10.0,0.01
214.82292,10.187400000000025,9.999990000000025,16.18673000000001,4.4351,0.01
214.83333,10.162470000000042,9.999990000000025,15.85626000000002,1.44231,0.01
214.84375,10.146910000000048,9.999990000000025,15.522670000000005,0.22837,0.01
214.85417,10.13757000000004,9.999990000000025,15.20001000000002,0.0,0.01
